'sessionID', 'type', 'messsage'

"1679036892783-jcf3tghy41j","user","Welcome the user to treechat.de. Introduce them to your assistance capabilities in relation to your Workplace. Keep it short. Use their language: en-US"
"1679036892783-jcf3tghy41j","assistant","Welcome to Treechat! I'm here to assist you with information related to the Pasinger Arcaden mall, including its shops, opening times and levels. How may I assist you today?"
"1679036892783-jcf3tghy41j","user","Welcome the user to treechat.de. Introduce them to your assistance capabilities in relation to your Workplace. Keep it short. Use their language: en-US"
"1679036892783-jcf3tghy41j","assistant","Welcome to Treechat! I'm here to assist you with information related to the Pasinger Arcaden mall, including its shops, opening times and levels. How may I assist you today?"
"1679036892783-jcf3tghy41j","assistant","Hello and welcome to treechat.de! As an information desk worker at Pasinger Arcaden mall, I'm here to assist you with any questions you have about the shops and stores located here. Just let me know how I can help you."
"1679036892783-jcf3tghy41j","user","Where is Mcdonalds?"
"1679036892783-jcf3tghy41j","assistant","I'm sorry, but there is no McDonald's in Pasinger Arcaden. However, we do have many other great dining options available! Would you like a recommendation?"
"1679036892783-jcf3tghy41j","assistant","Hello and welcome to Treechat.de! As an Information Desk Worker at Pasinger Arcaden, I can assist you with queries regarding the shops, opening times and products categories. Please feel free to ask me any questions, and I will do my best to help!"
"1679036892783-jcf3tghy41j","assistant","Welcome to treechat.de! As an information Desk Worker at Pasinger Arcaden mall, I can assist you with information about the shops, their opening times, and their location. Just let me know how I can help!"